,Northrop Grumman Corporation,,,,,
Date,Open,High,Low,Close,Volume,SIP
"03,31,1992",11.57,11.79,10.83,10.89,2429953,0
"02,28,1992",11.45,12.19,11.17,11.57,2946720,0
"01,31,1992",11.79,12.13,10.83,11.34,5312518,0
"12,31,1991",9.47,11.96,9.02,11.91,4960217,0
"11,29,1991",11.96,11.96,9.36,9.58,4561618,0
"10,31,1991",10.6,12.13,9.98,11.96,3598632,0
"09,30,1991",12.81,13.04,9.64,10.55,6600028,0
"08,30,1991",13.49,14.17,12.3,12.7,5523502,0
"07,31,1991",11.57,13.83,11,13.49,4290227,0
"06,28,1991",11.17,12.47,11.11,11.51,3752516,0
"05,31,1991",11.11,11.28,10.04,11.17,3807411,0
"04,30,1991",13.04,13.49,10.26,11.11,9529552,0
